STT,Từ khóa,Mã loại,Tên loại,Danh_sach_tu_khoa,Danh_sach_tu_khoa_chuan,Text_TFIDF
65,"chăm sóc khách hàng, điện lực, hóa đơn, có vấn đề, xác minh, cắt điện, tính phí phạt, tải app, SMS, Zalo, link, cài app, cấp quyền, đọc mã, OTP, tài khoản ngân hàng, bị trừ tiền, hệ thống, đồng bộ hóa, xác nhận popup, tạm khóa giao dịch, kiểm tra, lịch sử khôi phục, bộ phận kỹ thuật",14,Lừa đảo phí điện nước,"[""chăm_sóc_khách_hàng"", ""điện_lực"", ""hóa_đơn"", ""có_vấn_đề"", ""cắt_điện"", ""tính_phí_phạt"", ""tải_app"", ""sms"", ""zalo"", ""cài_app"", ""cấp_quyền"", ""đọc_mã"", ""otp"", ""tài_khoản_ngân_hàng"", ""bị_trừ_tiền"", ""hệ_thống"", ""đồng_bộ_hóa"", ""xác_nhận_popup"", ""tạm_khóa_giao_dịch"", ""kiểm_tra"", ""lịch_sử_khôi_phục"", ""bộ_phận_kỹ_thuật""]","[""chăm_sóc"", ""khách_hàng"", ""điện_lực"", ""hóa_đơn"", ""có"", ""vấn_đề"", ""cắt_điện"", ""tính_phí_phạt"", ""cài_app"", ""sms"", ""zalo"", ""cấp_quyền"", ""đọc_mã"", ""mã_otp"", ""tài_khoản"", ""ngân_hàng"", ""bị_trừ_tiền"", ""hệ_thống"", ""đồng_bộ_hóa"", ""xác_nhận"", ""popup"", ""tạm"", ""khóa"", ""giao_dịch"", ""kiểm_tra"", ""lịch_sử"", ""khôi_phục"", ""bộ_phận"", ""kỹ_thuật""]",chăm_sóc khách_hàng điện_lực hóa_đơn có vấn_đề cắt_điện tính_phí_phạt cài_app sms zalo cấp_quyền đọc_mã mã_otp tài_khoản ngân_hàng bị_trừ_tiền hệ_thống đồng_bộ_hóa xác_nhận popup tạm khóa giao_dịch kiểm_tra lịch_sử khôi_phục bộ_phận kỹ_thuật
66,"nhân viên giao hàng, nhân viên bưu điện, bưu điện, giao hàng, xác nhận, đơn hàng, shopee, xuất kho, yêu cầu, thanh toán, tiền, VAT, xuất hàng, chưa cập nhật, quy định, online, phút, chuyển, hệ thống, hoàn dư, thông tin, hoàn về, hướng dẫn, zalo, nội bộ, bảo trì, giờ, hoàn đơn, hoàn, đơn",7,Giả mạo người giao hàng,"[""nhân_viên_giao_hàng"", ""nhân_viên_bưu_điện"", ""bưu_điện"", ""giao_hàng"", ""xác_nhận"", ""đơn_hàng"", ""shopee"", ""xuất_kho"", ""yêu_cầu"", ""thanh_toán"", ""vat"", ""xuất_hàng"", ""chưa_cập_nhật"", ""quy_định"", ""online"", ""phút"", ""chuyển"", ""hệ_thống"", ""hoàn_dư"", ""thông_tin"", ""hoàn_về"", ""hướng_dẫn"", ""zalo"", ""nội_bộ"", ""bảo_trì"", ""giờ"", ""hoàn_đơn"", ""hoàn"", ""đơn""]","[""nhân_viên"", ""giao"", ""hàng"", ""bưu_điện"", ""giao_hàng"", ""xác_nhận"", ""đơn_hàng"", ""shopee"", ""xuất_kho"", ""yêu_cầu"", ""thanh_toán"", ""vat"", ""xuất_hàng"", ""chưa"", ""cập_nhật"", ""quy_định"", ""online"", ""phút"", ""chuyển"", ""hệ_thống"", ""hoàn_dư"", ""thông_tin"", ""hoàn_về"", ""hướng_dẫn"", ""zalo"", ""nội_bộ"", ""bảo_trì"", ""giờ"", ""hoàn_đơn"", ""hoàn"", ""đơn""]",nhân_viên giao hàng bưu_điện giao_hàng xác_nhận đơn_hàng shopee xuất_kho yêu_cầu thanh_toán vat xuất_hàng chưa cập_nhật quy_định online phút chuyển hệ_thống hoàn_dư thông_tin hoàn_về hướng_dẫn zalo nội_bộ bảo_trì giờ hoàn_đơn hoàn đơn
67,"nhân viên, điện lực, hợp đồng điện, cảnh báo đỏ, chưa cập nhật, địa chỉ sau sát nhập, ngắt điện tự động, giờ, cung cấp, CCCD, ngày cấp, nơi cấp, địa chỉ thường trú, đồng bộ hệ thống, đóng phí, link, Zalo, thanh toán nhanh, chuyển tiền, mã xác thực, trễ, không trả phí, mất điện, thông báo trên app mới, tự chuyển đổi",14,Lừa đảo phí điện nước,"[""nhân_viên"", ""điện_lực"", ""hợp_đồng_điện"", ""cảnh_báo_đỏ"", ""chưa_cập_nhật"", ""địa_chỉ_sau_sát_nhập"", ""ngắt_điện_tự_động"", ""giờ"", ""cung_cấp"", ""cccd"", ""ngày_cấp"", ""nơi_cấp"", ""địa_chỉ_thường_trú"", ""đồng_bộ_hệ_thống"", ""đóng_phí"", ""zalo"", ""thanh_toán_nhanh"", ""mã_xác_thực"", ""trễ"", ""không_trả_phí"", ""mất_điện"", ""thông_báo_trên_app_mới"", ""tự_chuyển_đổi""]","[""nhân_viên"", ""điện_lực"", ""hợp_đồng"", ""điện"", ""cảnh_báo"", ""đỏ"", ""chưa"", ""cập_nhật"", ""địa_chỉ"", ""sau"", ""sát"", ""nhập"", ""ngắt_điện"", ""tự_động"", ""giờ"", ""cung_cấp"", ""căn_cước"", ""ngày_cấp"", ""nơi_cấp"", ""thường_trú"", ""đồng_bộ"", ""hệ_thống"", ""đóng_phí"", ""zalo"", ""thanh_toán"", ""nhanh"", ""mã_otp"", ""trễ"", ""không_trả_phí"", ""mất_điện"", ""thông_báo"", ""trên"", ""app"", ""mới"", ""tự"", ""chuyển_đổi""]",nhân_viên điện_lực hợp_đồng điện cảnh_báo đỏ chưa cập_nhật địa_chỉ sau sát nhập ngắt_điện tự_động giờ cung_cấp căn_cước ngày_cấp nơi_cấp thường_trú đồng_bộ hệ_thống đóng_phí zalo thanh_toán nhanh mã_otp trễ không_trả_phí mất_điện thông_báo trên app mới tự chuyển_đổi
68,"trường THPT, xác nhận danh tính, phụ huynh, hồ sơ, đăng ký dự thi tốt nghiệp, bị sai, CCCD, ảnh chân dung, mã định danh, không trùng khớp, hồ sơ bị treo, không cập nhật, ảnh hưởng, việc dự thi, xác minh trực tuyến, link, Zalo, quét khuân mặt, nhập mã, OTP, tài khoản ngân hàng, quy trình trừ phí, tự hoàn lại",13,Giả danh cơ sở giáo dục,"[""trường_thpt"", ""xác_nhận_danh_tính"", ""phụ_huynh"", ""đăng_ký_dự_thi_tốt_nghiệp"", ""bị_sai"", ""cccd"", ""ảnh_chân_dung"", ""mã_định_danh"", ""không_trùng_khớp"", ""hồ_sơ_bị_treo"", ""không_cập_nhật"", ""ảnh_hưởng"", ""việc_dự_thi"", ""xác_minh_trực_tuyến"", ""zalo"", ""quét_khuân_mặt"", ""nhập_mã"", ""otp"", ""tài_khoản_ngân_hàng"", ""quy_trình_trừ_phí"", ""tự_hoàn_lại""]","[""trường_thpt"", ""xác_nhận"", ""danh_tính"", ""phụ_huynh"", ""đăng_ký"", ""dự"", ""thi"", ""tốt_nghiệp"", ""bị_sai"", ""căn_cước"", ""ảnh"", ""chân_dung"", ""mã"", ""định_danh"", ""không_trùng_khớp"", ""hồ_sơ"", ""bị"", ""treo"", ""không"", ""cập_nhật"", ""ảnh_hưởng"", ""việc_dự_thi"", ""xác_minh"", ""trực_tuyến"", ""zalo"", ""quét_khuân_mặt"", ""nhập_mã"", ""mã_otp"", ""tài_khoản"", ""ngân_hàng"", ""quy_trình"", ""trừ"", ""phí"", ""tự_hoàn_lại""]",trường_thpt xác_nhận danh_tính phụ_huynh đăng_ký dự thi tốt_nghiệp bị_sai căn_cước ảnh chân_dung mã định_danh không_trùng_khớp hồ_sơ bị treo không cập_nhật ảnh_hưởng việc_dự_thi xác_minh trực_tuyến zalo quét_khuân_mặt nhập_mã mã_otp tài_khoản ngân_hàng quy_trình trừ phí tự_hoàn_lại
69,"nhân viên tuyển dụng, tìm việc, hỗ trợ, phỏng vấn, số điện thoại, dữ liệu, tuyển dụng, tham gia, online, telegram, sơ loại, trực tiếp, văn phòng, khảo sát, link, yêu cầu, thông tin cá nhân, chuyên môn, công ty, ứng viên, không ảnh hưởng, tài khoản",4,Giả mạo nhà tuyển dụng,"[""nhân_viên_tuyển_dụng"", ""tìm_việc"", ""hỗ_trợ"", ""phỏng_vấn"", ""số_điện_thoại"", ""dữ_liệu"", ""tuyển_dụng"", ""tham_gia"", ""online"", ""telegram"", ""sơ_loại"", ""trực_tiếp"", ""văn_phòng"", ""khảo_sát"", ""yêu_cầu"", ""thông_tin_cá_nhân"", ""chuyên_môn"", ""công_ty"", ""ứng_viên"", ""không_ảnh_hưởng""]","[""nhân_viên"", ""tuyển_dụng"", ""tìm_việc"", ""hỗ_trợ"", ""phỏng_vấn"", ""số"", ""điện_thoại"", ""dữ_liệu"", ""tham_gia"", ""online"", ""telegram"", ""sơ_loại"", ""trực_tiếp"", ""văn_phòng"", ""khảo_sát"", ""yêu_cầu"", ""thông_tin"", ""cá_nhân"", ""chuyên_môn"", ""công_ty"", ""ứng_viên"", ""không"", ""ảnh_hưởng""]",nhân_viên tuyển_dụng tìm_việc hỗ_trợ phỏng_vấn số điện_thoại dữ_liệu tham_gia online telegram sơ_loại trực_tiếp văn_phòng khảo_sát yêu_cầu thông_tin cá_nhân chuyên_môn công_ty ứng_viên không ảnh_hưởng
70,"phòng hợp tác quốc tế, đại học, trúng, chương trình, trao đổi sinh viên, thông báo, email, thư có dấu đỏ, bưu điện, chứng minh tài chính, tiền, hoàn tất hồ sơ, visa, nhóm ưu tiên, xác nhận ngay",13,Giả danh cơ sở giáo dục,"[""phòng_hợp_tác_quốc_tế"", ""đại_học"", ""trúng"", ""chương_trình"", ""trao_đổi_sinh_viên"", ""thông_báo"", ""email"", ""thư_có_dấu_đỏ"", ""bưu_điện"", ""chứng_minh_tài_chính"", ""hoàn_tất_hồ_sơ"", ""visa"", ""nhóm_ưu_tiên"", ""xác_nhận_ngay""]","[""phòng"", ""hợp_tác"", ""quốc_tế"", ""đại_học"", ""trúng"", ""chương_trình"", ""trao_đổi"", ""sinh_viên"", ""thông_báo"", ""email"", ""thư_có_dấu_đỏ"", ""bưu_điện"", ""chứng_minh"", ""tài_chính"", ""hoàn_tất"", ""hồ_sơ"", ""visa"", ""nhóm"", ""ưu_tiên"", ""xác_nhận"", ""ngay""]",phòng hợp_tác quốc_tế đại_học trúng chương_trình trao_đổi sinh_viên thông_báo email thư_có_dấu_đỏ bưu_điện chứng_minh tài_chính hoàn_tất hồ_sơ visa nhóm ưu_tiên xác_nhận ngay
71,"nhân viên tuyển dụng, chương trình, tuyển, cộng tác viên, online, shopee, lazada, công việc, tiếng, thu nhập, ngày, hấp dẫn, nhiệm vụ, đơn giản, tìm từ khóa, google, chụp màn hình, chuyển, yêu cầu, tải, telegram, bảo mật, nhóm, cấp cao, đặt cọc, cung cấp, thông tin, công ty, nạp tiền, hoàn, vốn",4,Giả mạo nhà tuyển dụng,"[""nhân_viên_tuyển_dụng"", ""chương_trình"", ""tuyển"", ""cộng_tác_viên"", ""online"", ""shopee"", ""lazada"", ""công_việc"", ""tiếng"", ""thu_nhập"", ""ngày"", ""hấp_dẫn"", ""nhiệm_vụ"", ""đơn_giản"", ""tìm_từ_khóa"", ""google"", ""chụp_màn_hình"", ""chuyển"", ""yêu_cầu"", ""tải"", ""telegram"", ""bảo_mật"", ""nhóm"", ""cấp_cao"", ""đặt_cọc"", ""cung_cấp"", ""thông_tin"", ""công_ty"", ""nạp_tiền"", ""hoàn"", ""vốn""]","[""nhân_viên"", ""tuyển_dụng"", ""chương_trình"", ""tuyển"", ""cộng_tác_viên"", ""online"", ""shopee"", ""lazada"", ""công_việc"", ""tiếng"", ""thu_nhập"", ""ngày"", ""hấp_dẫn"", ""nhiệm_vụ"", ""đơn_giản"", ""tìm_từ_khóa"", ""google"", ""chụp"", ""màn_hình"", ""chuyển"", ""yêu_cầu"", ""tải"", ""telegram"", ""bảo_mật"", ""nhóm"", ""cấp_cao"", ""đặt_cọc"", ""cung_cấp"", ""thông_tin"", ""công_ty"", ""nạp_tiền"", ""hoàn"", ""vốn""]",nhân_viên tuyển_dụng chương_trình tuyển cộng_tác_viên online shopee lazada công_việc tiếng thu_nhập ngày hấp_dẫn nhiệm_vụ đơn_giản tìm_từ_khóa google chụp màn_hình chuyển yêu_cầu tải telegram bảo_mật nhóm cấp_cao đặt_cọc cung_cấp thông_tin công_ty nạp_tiền hoàn vốn
72,"công việc, online, thời gian ít, thu nhập cao, hướng dẫn, test, tìm từ khóa, google, gửi ảnh, chuyển, khoản tiền, tiền, chuyển tiền, yêu cầu, tải, telegram, nhóm, zalo, nội bộ, nhiệm vụ, cao cấp, nạp vốn, mua công cụ, giao dịch, đầu tư, mất tiền, nạp tiền, có tiền ngay",4,Giả mạo nhà tuyển dụng,"[""công_việc"", ""online"", ""thời_gian_ít"", ""thu_nhập_cao"", ""hướng_dẫn"", ""test"", ""tìm_từ_khóa"", ""google"", ""gửi_ảnh"", ""chuyển"", ""khoản_tiền"", ""yêu_cầu"", ""tải"", ""telegram"", ""nhóm"", ""zalo"", ""nội_bộ"", ""nhiệm_vụ"", ""cao_cấp"", ""nạp_vốn"", ""mua_công_cụ"", ""giao_dịch"", ""đầu_tư"", ""mất_tiền"", ""nạp_tiền"", ""có_tiền_ngay""]","[""công_việc"", ""online"", ""thời_gian"", ""ít"", ""thu_nhập"", ""cao"", ""hướng_dẫn"", ""test"", ""tìm_từ_khóa"", ""google"", ""gửi_ảnh"", ""chuyển"", ""khoản_tiền"", ""yêu_cầu"", ""tải"", ""telegram"", ""nhóm"", ""zalo"", ""nội_bộ"", ""nhiệm_vụ"", ""cao_cấp"", ""nạp_vốn"", ""mua"", ""công_cụ"", ""giao_dịch"", ""đầu_tư"", ""mất_tiền"", ""nạp_tiền"", ""có_tiền_ngay""]",công_việc online thời_gian ít thu_nhập cao hướng_dẫn test tìm_từ_khóa google gửi_ảnh chuyển khoản_tiền yêu_cầu tải telegram nhóm zalo nội_bộ nhiệm_vụ cao_cấp nạp_vốn mua công_cụ giao_dịch đầu_tư mất_tiền nạp_tiền có_tiền_ngay
73,"tuyển dụng, trường đại học, hồ sơ, phỏng vấn, đặc biệt, nội bộ, ứng viên, xác nhận, tên, yêu cầu, bật camera, xác minh, danh tính, ngay lập tức, thông tin, không hợp tác, hướng dẫn, xoay mặt, cúi xuống, ghi hình, xác thực, khuôn mặt, nâng cao, thông tin cá nhân, họ tên, ngày sinh, địa chỉ, CCCD, đóng, phí, tạm giữ, cảnh báo, hoàn lại, hủy, video, báo cáo, chuyển, phút, biên lai",4,Giả mạo nhà tuyển dụng,"[""tuyển_dụng"", ""trường_đại_học"", ""phỏng_vấn"", ""đặc_biệt"", ""nội_bộ"", ""ứng_viên"", ""xác_nhận"", ""tên"", ""yêu_cầu"", ""bật_camera"", ""danh_tính"", ""ngay_lập_tức"", ""thông_tin"", ""không_hợp_tác"", ""hướng_dẫn"", ""xoay_mặt"", ""cúi_xuống"", ""ghi_hình"", ""xác_thực"", ""khuôn_mặt"", ""nâng_cao"", ""thông_tin_cá_nhân"", ""họ_tên"", ""ngày_sinh"", ""địa_chỉ"", ""cccd"", ""đóng"", ""phí"", ""tạm_giữ"", ""cảnh_báo"", ""hoàn_lại"", ""hủy"", ""video"", ""báo_cáo"", ""chuyển"", ""phút"", ""biên_lai""]","[""tuyển_dụng"", ""trường"", ""đại_học"", ""phỏng_vấn"", ""đặc_biệt"", ""nội_bộ"", ""ứng_viên"", ""xác_nhận"", ""tên"", ""yêu_cầu"", ""bật_camera"", ""danh_tính"", ""ngay"", ""lập_tức"", ""thông_tin"", ""không"", ""hợp_tác"", ""hướng_dẫn"", ""xoay_mặt"", ""cúi_xuống"", ""ghi_hình"", ""xác_thực"", ""khuôn_mặt"", ""nâng_cao"", ""cá_nhân"", ""họ_tên"", ""ngày_sinh"", ""địa_chỉ"", ""căn_cước"", ""đóng"", ""phí"", ""tạm_giữ"", ""cảnh_báo"", ""hoàn_lại"", ""hủy"", ""video"", ""báo_cáo"", ""chuyển"", ""phút"", ""biên_lai""]",tuyển_dụng trường đại_học phỏng_vấn đặc_biệt nội_bộ ứng_viên xác_nhận tên yêu_cầu bật_camera danh_tính ngay lập_tức thông_tin không hợp_tác hướng_dẫn xoay_mặt cúi_xuống ghi_hình xác_thực khuôn_mặt nâng_cao cá_nhân họ_tên ngày_sinh địa_chỉ căn_cước đóng phí tạm_giữ cảnh_báo hoàn_lại hủy video báo_cáo chuyển phút biên_lai
74,"nhân viên tuyển dụng, đối tác, shopee, lazada, tham gia, chương trình, cộng tác viên, online, thu nhập, hấp dẫn, ngày, làm việc, công việc, tương tác, tìm từ khóa, sản phẩm, nhiệm vụ, google, chụp màn hình, cung cấp, số tài khoản, tiền, thưởng, tải, ứng dụng, telegram, nhóm, yêu cầu, đặt cọc, hoàn trả, lợi nhuận, không lừa",4,Giả mạo nhà tuyển dụng,"[""nhân_viên_tuyển_dụng"", ""đối_tác"", ""shopee"", ""lazada"", ""tham_gia"", ""chương_trình"", ""cộng_tác_viên"", ""online"", ""thu_nhập"", ""hấp_dẫn"", ""ngày"", ""làm_việc"", ""công_việc"", ""tương_tác"", ""tìm_từ_khóa"", ""sản_phẩm"", ""nhiệm_vụ"", ""google"", ""chụp_màn_hình"", ""cung_cấp"", ""số_tài_khoản"", ""thưởng"", ""tải"", ""ứng_dụng"", ""telegram"", ""nhóm"", ""yêu_cầu"", ""đặt_cọc"", ""hoàn_trả"", ""lợi_nhuận"", ""không_lừa""]","[""nhân_viên"", ""tuyển_dụng"", ""đối_tác"", ""shopee"", ""lazada"", ""tham_gia"", ""chương_trình"", ""cộng_tác_viên"", ""online"", ""thu_nhập"", ""hấp_dẫn"", ""ngày"", ""làm_việc"", ""công_việc"", ""tương_tác"", ""tìm_từ_khóa"", ""sản_phẩm"", ""nhiệm_vụ"", ""google"", ""chụp"", ""màn_hình"", ""cung_cấp"", ""số"", ""tài_khoản"", ""thưởng"", ""tải"", ""ứng_dụng"", ""telegram"", ""nhóm"", ""yêu_cầu"", ""đặt_cọc"", ""hoàn_trả"", ""lợi_nhuận"", ""không_lừa""]",nhân_viên tuyển_dụng đối_tác shopee lazada tham_gia chương_trình cộng_tác_viên online thu_nhập hấp_dẫn ngày làm_việc công_việc tương_tác tìm_từ_khóa sản_phẩm nhiệm_vụ google chụp màn_hình cung_cấp số tài_khoản thưởng tải ứng_dụng telegram nhóm yêu_cầu đặt_cọc hoàn_trả lợi_nhuận không_lừa
75,"công việc, online, hấp dẫn, ngày, thu nhập, đơn giản, test, google, tìm từ khóa, chụp màn hình, nhận, hướng dẫn, tải, app, ứng dụng, telegram, nhóm, zalo, nội bộ, nhiệm vụ, chuyên viên, kiểm toán, xác nhận, chuyển tiền, yêu cầu, nạp, vốn, mua công cụ, giao dịch, thưởng, nạp tiền",4,Giả mạo nhà tuyển dụng,"[""công_việc"", ""online"", ""hấp_dẫn"", ""ngày"", ""thu_nhập"", ""đơn_giản"", ""test"", ""google"", ""tìm_từ_khóa"", ""chụp_màn_hình"", ""nhận"", ""hướng_dẫn"", ""tải"", ""app"", ""ứng_dụng"", ""telegram"", ""nhóm"", ""zalo"", ""nội_bộ"", ""nhiệm_vụ"", ""chuyên_viên"", ""kiểm_toán"", ""xác_nhận"", ""yêu_cầu"", ""nạp"", ""vốn"", ""mua_công_cụ"", ""giao_dịch"", ""thưởng"", ""nạp_tiền""]","[""công_việc"", ""online"", ""hấp_dẫn"", ""ngày"", ""thu_nhập"", ""đơn_giản"", ""test"", ""google"", ""tìm_từ_khóa"", ""chụp"", ""màn_hình"", ""nhận"", ""hướng_dẫn"", ""tải"", ""ứng_dụng"", ""telegram"", ""nhóm"", ""zalo"", ""nội_bộ"", ""nhiệm_vụ"", ""chuyên_viên"", ""kiểm_toán"", ""xác_nhận"", ""yêu_cầu"", ""nạp"", ""vốn"", ""mua"", ""công_cụ"", ""giao_dịch"", ""thưởng"", ""nạp_tiền""]",công_việc online hấp_dẫn ngày thu_nhập đơn_giản test google tìm_từ_khóa chụp màn_hình nhận hướng_dẫn tải ứng_dụng telegram nhóm zalo nội_bộ nhiệm_vụ chuyên_viên kiểm_toán xác_nhận yêu_cầu nạp vốn mua công_cụ giao_dịch thưởng nạp_tiền
76,"nhân viên tuyển dụng, hồ sơ, ứng viên, được duyệt, tham gia, vị trí, lương cao, tháng, yêu cầu, phỏng vấn, online, link, nhóm, zalo, thông tin cá nhân, số tài khoản, ngân hàng, lì xì, hướng dẫn, tài khoản, dự án, ngân hàng, quản lý, nạp, kích hoạt, hoàn tiền, hoa hồng",4,Giả mạo nhà tuyển dụng,"[""nhân_viên_tuyển_dụng"", ""ứng_viên"", ""được_duyệt"", ""tham_gia"", ""vị_trí"", ""lương_cao"", ""tháng"", ""yêu_cầu"", ""phỏng_vấn"", ""online"", ""nhóm"", ""zalo"", ""thông_tin_cá_nhân"", ""số_tài_khoản"", ""ngân_hàng"", ""lì_xì"", ""hướng_dẫn"", ""dự_án"", ""ngân_hàng"", ""quản_lý"", ""nạp"", ""kích_hoạt"", ""hoàn_tiền"", ""hoa_hồng""]","[""nhân_viên"", ""tuyển_dụng"", ""ứng_viên"", ""được_duyệt"", ""tham_gia"", ""vị_trí"", ""lương_cao"", ""tháng"", ""yêu_cầu"", ""phỏng_vấn"", ""online"", ""nhóm"", ""zalo"", ""thông_tin"", ""cá_nhân"", ""số"", ""tài_khoản"", ""ngân_hàng"", ""lì_xì"", ""hướng_dẫn"", ""dự_án"", ""quản_lý"", ""nạp"", ""kích_hoạt"", ""hoàn_tiền"", ""hoa_hồng""]",nhân_viên tuyển_dụng ứng_viên được_duyệt tham_gia vị_trí lương_cao tháng yêu_cầu phỏng_vấn online nhóm zalo thông_tin cá_nhân số tài_khoản ngân_hàng lì_xì hướng_dẫn dự_án quản_lý nạp kích_hoạt hoàn_tiền hoa_hồng
77,"nhân sự, hồ sơ, phỏng vấn, online, telegram, bận, tuyển gấp, vị trí, tài liệu, trực tiếp, trụ sở, công ty, chúc mừng, được duyệt, nhận, ưu tiên, yêu cầu, hoàn tất, chuyển, tiền, đồng phục, hoàn lại, nhận việc, pháp lý, chuyển tiền, số tài khoản, cọc",4,Giả mạo nhà tuyển dụng,"[""nhân_sự"", ""phỏng_vấn"", ""online"", ""telegram"", ""bận"", ""tuyển_gấp"", ""vị_trí"", ""tài_liệu"", ""trực_tiếp"", ""trụ_sở"", ""công_ty"", ""chúc_mừng"", ""được_duyệt"", ""nhận"", ""ưu_tiên"", ""yêu_cầu"", ""hoàn_tất"", ""chuyển"", ""đồng_phục"", ""hoàn_lại"", ""nhận_việc"", ""pháp_lý"", ""số_tài_khoản"", ""cọc""]","[""nhân_sự"", ""phỏng_vấn"", ""online"", ""telegram"", ""bận"", ""tuyển_gấp"", ""vị_trí"", ""tài_liệu"", ""trực_tiếp"", ""trụ_sở"", ""công_ty"", ""chúc_mừng"", ""được_duyệt"", ""nhận"", ""ưu_tiên"", ""yêu_cầu"", ""hoàn_tất"", ""chuyển"", ""đồng_phục"", ""hoàn_lại"", ""nhận_việc"", ""pháp_lý"", ""số"", ""tài_khoản"", ""cọc""]",nhân_sự phỏng_vấn online telegram bận tuyển_gấp vị_trí tài_liệu trực_tiếp trụ_sở công_ty chúc_mừng được_duyệt nhận ưu_tiên yêu_cầu hoàn_tất chuyển đồng_phục hoàn_lại nhận_việc pháp_lý số tài_khoản cọc
78,"ngân hàng, nhân viên tuyển dụng, nhận, hồ sơ, tham gia, vị trí, chuyên viên, khách hàng, lương, hướng dẫn, sơ tuyển, online, link, nhóm, zalo, yêu cầu, thông tin cá nhân, số tài khoản, nhận, thưởng, tiền, hoàn thành, tài khoản, dự án, hợp tác, không ảnh hưởng, quản lý, nạp, kích hoạt, tài khoản, hoàn trả, phút, hoa hồng, xác minh, uy tín",4,Giả mạo nhà tuyển dụng,"[""ngân_hàng"", ""nhân_viên_tuyển_dụng"", ""nhận"", ""tham_gia"", ""vị_trí"", ""chuyên_viên"", ""khách_hàng"", ""lương"", ""hướng_dẫn"", ""sơ_tuyển"", ""online"", ""nhóm"", ""zalo"", ""yêu_cầu"", ""thông_tin_cá_nhân"", ""số_tài_khoản"", ""nhận"", ""thưởng"", ""hoàn_thành"", ""dự_án"", ""hợp_tác"", ""không_ảnh_hưởng"", ""quản_lý"", ""nạp"", ""kích_hoạt"", ""hoàn_trả"", ""phút"", ""hoa_hồng"", ""uy_tín""]","[""ngân_hàng"", ""nhân_viên"", ""tuyển_dụng"", ""nhận"", ""tham_gia"", ""vị_trí"", ""chuyên_viên"", ""khách_hàng"", ""lương"", ""hướng_dẫn"", ""sơ_tuyển"", ""online"", ""nhóm"", ""zalo"", ""yêu_cầu"", ""thông_tin"", ""cá_nhân"", ""số"", ""tài_khoản"", ""thưởng"", ""hoàn_thành"", ""dự_án"", ""hợp_tác"", ""không"", ""ảnh_hưởng"", ""quản_lý"", ""nạp"", ""kích_hoạt"", ""hoàn_trả"", ""phút"", ""hoa_hồng"", ""uy_tín""]",ngân_hàng nhân_viên tuyển_dụng nhận tham_gia vị_trí chuyên_viên khách_hàng lương hướng_dẫn sơ_tuyển online nhóm zalo yêu_cầu thông_tin cá_nhân số tài_khoản thưởng hoàn_thành dự_án hợp_tác không ảnh_hưởng quản_lý nạp kích_hoạt hoàn_trả phút hoa_hồng uy_tín
79,"thầy, giáo viên chủ nhiệm, tai nạn, va đập mạnh, chấn thương, sọ não, bệnh viện, mổ, phút, tình trạng, nghiêm trọng, phòng mổ, sẵn sàng, tạm ứng, tiền, phút, chyển khoản, số tài khoản, khẩn cấp, nguy hiểm, tính mạng",8,Lừa đảo liên quan sức khỏe,"[""thầy"", ""giáo_viên_chủ_nhiệm"", ""tai_nạn"", ""va_đập_mạnh"", ""chấn_thương"", ""sọ_não"", ""bệnh_viện"", ""mổ"", ""phút"", ""tình_trạng"", ""nghiêm_trọng"", ""phòng_mổ"", ""sẵn_sàng"", ""tạm_ứng"", ""phút"", ""chyển_khoản"", ""số_tài_khoản"", ""khẩn_cấp"", ""nguy_hiểm"", ""tính_mạng""]","[""thầy"", ""giáo_viên"", ""chủ_nhiệm"", ""tai_nạn"", ""va_đập"", ""mạnh"", ""chấn_thương"", ""sọ_não"", ""bệnh_viện"", ""mổ"", ""phút"", ""tình_trạng"", ""nghiêm_trọng"", ""phòng_mổ"", ""sẵn_sàng"", ""tạm_ứng"", ""chyển_khoản"", ""số"", ""tài_khoản"", ""khẩn_cấp"", ""nguy_hiểm"", ""tính_mạng""]",thầy giáo_viên chủ_nhiệm tai_nạn va_đập mạnh chấn_thương sọ_não bệnh_viện mổ phút tình_trạng nghiêm_trọng phòng_mổ sẵn_sàng tạm_ứng chyển_khoản số tài_khoản khẩn_cấp nguy_hiểm tính_mạng
